"GeneId","GeneSymbol","GeneName","Svalue","Pvalue","Meta-Qvalue","sigCore"
22836,"RHOBTB3","Rho-related BTB domain containing 3",79.93,4.04E-09,3.81E-06,"X"
8324,"FZD7","frizzled homolog 7 (Drosophila)",83.73,3.90E-09,3.81E-06,"X"
824,"CAPN2","calpain 2, (m/II) large subunit",83.36,4.51E-09,4.11E-06,"X"
22985,"ACIN1","apoptotic chromatin condensation inducer 1",83.10,4.97E-09,4.38E-06,"X"
140,"ADORA3","adenosine A3 receptor",82.89,5.39E-09,4.59E-06,"X"
1601,"DAB2","disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)",82.80,5.58E-09,4.61E-06,"X"
162494,"RHBDL3","rhomboid, veinlet-like 3 (Drosophila)",54.31,6.01E-09,4.82E-06,
51776,"ZAK","sterile alpha motif and leucine zipper containing kinase AZK",75.04,6.23E-09,4.84E-06,"X"
4026,"LPP","LIM domain containing preferred translocation partner in lipoma",82.01,7.53E-09,5.53E-06,"X"
6261,"RYR1","ryanodine receptor 1 (skeletal)",82.05,7.42E-09,5.53E-06,"X"
23774,"BRD1","bromodomain containing 1",70.57,7.91E-09,5.65E-06,"X"
10580,"SORBS1","sorbin and SH3 domain containing 1",81.73,8.39E-09,5.82E-06,"X"
8500,"PPFIA1","protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 1",81.67,8.59E-09,5.82E-06,"X"
10241,"CALCOCO2","calcium binding and coiled-coil domain 2",81.49,9.18E-09,6.07E-06,"X"
128346,"C1orf162","chromosome 1 open reading frame 162",57.47,1.09E-08,7.02E-06,"X"
112869,"CCDC101","coiled-coil domain containing 101",73.38,1.20E-08,7.56E-06,"X"
23524,"SRRM2","serine/arginine repetitive matrix 2",80.60,1.29E-08,7.94E-06,"X"
120,"ADD3","adducin 3 (gamma)",76.79,1.37E-08,8.20E-06,"X"
2145,"EZH1","enhancer of zeste homolog 1 (Drosophila)",80.37,1.41E-08,8.28E-06,"X"
347,"APOD","apolipoprotein D",80.03,1.60E-08,9.19E-06,"X"
9580,"SOX13","SRY (sex determining region Y)-box 13",75.63,2.14E-08,1.18E-05,"X"
23175,"LPIN1","lipin 1",79.29,2.12E-08,1.18E-05,"X"
8082,"SSPN","sarcospan (Kras oncogene-associated gene)",79.05,2.32E-08,1.25E-05,"X"
10418,"SPON1","spondin 1, extracellular matrix protein",79.01,2.36E-08,1.25E-05,"X"
11030,"RBPMS","RNA binding protein with multiple splicing",78.58,2.77E-08,1.35E-05,"X"
10628,"TXNIP","thioredoxin interacting protein",78.63,2.72E-08,1.35E-05,"X"
6907,"TBL1X","transducin (beta)-like 1X-linked",78.35,3.03E-08,1.40E-05,"X"
429,"ASCL1","achaete-scute complex homolog 1 (Drosophila)",78.35,3.02E-08,1.40E-05,"X"
800,"CALD1","caldesmon 1",74.60,3.18E-08,1.45E-05,"X"
,"FER1L3","unknown",66.88,3.49E-08,1.48E-05,"X"
1200,"TPP1","tripeptidyl peptidase I",78.12,3.30E-08,1.48E-05,"X"
11170,"FAM107A","family with sequence similarity 107, member A",77.95,3.51E-08,1.48E-05,"X"
1291,"COL6A1","collagen, type VI, alpha 1",78.02,3.42E-08,1.48E-05,"X"
27295,"PDLIM3","PDZ and LIM domain 3",77.94,3.52E-08,1.48E-05,"X"
89122,"TRIM4","tripartite motif-containing 4",54.39,4.10E-08,1.63E-05,"X"
8826,"IQGAP1","IQ motif containing GTPase activating protein 1",77.53,4.12E-08,1.63E-05,"X"
3709,"ITPR2","inositol 1,4,5-triphosphate receptor, type 2",77.52,4.12E-08,1.63E-05,"X"
8837,"CFLAR","CASP8 and FADD-like apoptosis regulator",77.23,4.60E-08,1.79E-05,"X"
4601,"MXI1","MAX interactor 1",76.88,5.24E-08,2.01E-05,"X"
5934,"RBL2","retinoblastoma-like 2 (p130)",76.84,5.33E-08,2.01E-05,"X"
25840,"METTL7A","methyltransferase like 7A",73.10,5.64E-08,2.10E-05,"X"
1842,"ECM2","extracellular matrix protein 2, female organ and adipocyte specific",76.53,5.98E-08,2.20E-05,"X"
54581,"SCAND2","SCAN domain containing 2 pseudogene",76.18,6.80E-08,2.37E-05,"X"
2239,"GPC4","glypican 4",76.19,6.79E-08,2.37E-05,"X"
444,"ASPH","aspartate beta-hydroxylase",76.25,6.63E-08,2.37E-05,"X"
54498,"SMOX","spermine oxidase",76.13,6.94E-08,2.38E-05,"X"
1195,"CLK1","CDC-like kinase 1",75.81,7.81E-08,2.61E-05,
5725,"PTBP1","polypyrimidine tract binding protein 1",75.75,7.99E-08,2.64E-05,"X"
9444,"QKI","quaking homolog, KH domain RNA binding (mouse)",72.09,8.26E-08,2.70E-05,"X"
23593,"HEBP2","heme binding protein 2",71.94,8.77E-08,2.79E-05,"X"
9667,"SAFB2","scaffold attachment factor B2",75.45,8.95E-08,2.82E-05,"X"
7145,"TNS1","tensin 1",68.18,9.16E-08,2.83E-05,"X"
5256,"PHKA2","phosphorylase kinase, alpha 2 (liver)",75.37,9.22E-08,2.83E-05,"X"
6672,"SP100","SP100 nuclear antigen",71.65,9.79E-08,2.91E-05,"X"
124152,"IQCK","IQ motif containing K",74.98,1.06E-07,3.12E-05,"X"
285331,"CCDC66","coiled-coil domain containing 66",51.99,1.15E-07,3.29E-05,"X"
9459,"ARHGEF6","Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6",74.54,1.25E-07,3.52E-05,"X"
1373,"CPS1","carbamoyl-phosphate synthetase 1, mitochondrial",74.42,1.31E-07,3.64E-05,"X"
27031,"NPHP3","nephronophthisis 3 (adolescent)",51.55,1.38E-07,3.78E-05,"X"
119504,"C10orf104","chromosome 10 open reading frame 104",67.10,1.39E-07,3.78E-05,"X"
1029,"CDKN2A","cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)",74.14,1.45E-07,3.92E-05,"X"
6874,"TAF4","TAF4 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 135kDa",74.00,1.53E-07,4.08E-05,"X"
6038,"RNASE4","ribonuclease, RNase A family, 4",73.98,1.54E-07,4.08E-05,"X"
57326,"PBXIP1","pre-B-cell leukemia homeobox interacting protein 1",73.69,1.71E-07,4.49E-05,"X"
10174,"SORBS3","sorbin and SH3 domain containing 3",73.65,1.74E-07,4.52E-05,"X"
10404,"PGCP","plasma glutamate carboxypeptidase",73.53,1.82E-07,4.66E-05,"X"
7704,"ZBTB16","zinc finger and BTB domain containing 16",73.47,1.86E-07,4.73E-05,"X"
26112,"CCDC69","coiled-coil domain containing 69",73.18,2.07E-07,5.21E-05,"X"
26020,"LRP10","low density lipoprotein receptor-related protein 10",73.09,2.14E-07,5.33E-05,"X"
26092,"TOR1AIP1","torsin A interacting protein 1",69.51,2.19E-07,5.40E-05,"X"
5519,"PPP2R1B","protein phosphatase 2 (formerly 2A), regulatory subunit A, beta isoform",72.96,2.25E-07,5.45E-05,"X"
6584,"SLC22A5","solute carrier family 22 (organic cation/carnitine transporter), member 5",72.98,2.23E-07,5.45E-05,"X"
23126,"POGZ","pogo transposable element with ZNF domain",72.70,2.47E-07,5.93E-05,
284,"ANGPT1","angiopoietin 1",72.67,2.50E-07,5.94E-05,"X"
57161,"PELI2","pellino homolog 2 (Drosophila)",65.44,2.63E-07,6.21E-05,"X"
3480,"IGF1R","insulin-like growth factor 1 receptor",72.50,2.66E-07,6.23E-05,"X"
1797,"DOM3Z","dom-3 homolog Z (C. elegans)",61.70,2.70E-07,6.25E-05,
,"FLJ25778","unknown",41.11,2.76E-07,6.32E-05,
23279,"NUP160","nucleoporin 160kDa",72.36,2.80E-07,6.32E-05,"X"
9104,"RGN","regucalcin (senescence marker protein-30)",72.38,2.77E-07,6.32E-05,"X"
677,"ZFP36L1","zinc finger protein 36, C3H type-like 1",68.76,2.90E-07,6.39E-05,"X"
8406,"SRPX","sushi-repeat-containing protein, X-linked",72.27,2.90E-07,6.39E-05,
7181,"NR2C1","nuclear receptor subfamily 2, group C, member 1",68.65,3.02E-07,6.59E-05,"X"
7431,"VIM","vimentin",71.93,3.28E-07,7.11E-05,"X"
29904,"EEF2K","eukaryotic elongation factor-2 kinase",49.46,3.35E-07,7.14E-05,"X"
4534,"MTM1","myotubularin 1",71.89,3.32E-07,7.14E-05,"X"
1629,"DBT","dihydrolipoamide branched chain transacylase E2",71.76,3.49E-07,7.39E-05,"X"
1608,"DGKG","diacylglycerol kinase, gamma 90kDa",71.59,3.70E-07,7.73E-05,"X"
286343,"C9orf150","chromosome 9 open reading frame 150",64.38,3.93E-07,7.99E-05,"X"
79663,"HSPBAP1","HSPB (heat shock 27kDa) associated protein 1",64.42,3.87E-07,7.99E-05,"X"
8895,"CPNE3","copine III",67.96,3.90E-07,7.99E-05,"X"
26471,"NUPR1","nuclear protein 1",71.32,4.09E-07,8.26E-05,"X"
4915,"NTRK2","neurotrophic tyrosine kinase, receptor, type 2",71.27,4.17E-07,8.33E-05,"X"
821,"CANX","calnexin",71.26,4.19E-07,8.33E-05,"X"
23075,"SWAP70","SWAP-70 protein",71.19,4.30E-07,8.48E-05,"X"
8476,"CDC42BPA","CDC42 binding protein kinase alpha (DMPK-like)",71.13,4.38E-07,8.58E-05,"X"
57509,"MTUS1","mitochondrial tumor suppressor 1",60.38,4.52E-07,8.72E-05,
2260,"FGFR1","fibroblast growth factor receptor 1",60.20,4.84E-07,9.06E-05,"X"
3597,"IL13RA1","interleukin 13 receptor, alpha 1",70.84,4.87E-07,9.06E-05,"X"
54541,"DDIT4","DNA-damage-inducible transcript 4",70.77,5.00E-07,9.19E-05,"X"
3782,"KCNN3","potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3",70.75,5.05E-07,9.20E-05,"X"
57187,"THOC2","THO complex 2",70.30,5.94E-07,1.07E-04,"X"
8202,"NCOA3","nuclear receptor coactivator 3",70.14,6.29E-07,1.12E-04,"X"
6929,"TCF3","transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)",70.00,6.62E-07,1.17E-04,"X"
8556,"CDC14A","CDC14 cell division cycle 14 homolog A (S. cerevisiae)",69.98,6.66E-07,1.17E-04,"X"
10801,"SEPT9","septin 9",69.98,6.67E-07,1.17E-04,"X"
4299,"AFF1","AF4/FMR2 family, member 1",66.28,7.28E-07,1.25E-04,"X"
8773,"SNAP23","synaptosomal-associated protein, 23kDa",69.73,7.29E-07,1.25E-04,"X"
10188,"TNK2","tyrosine kinase, non-receptor, 2",69.69,7.40E-07,1.26E-04,"X"
607,"BCL9","B-cell CLL/lymphoma 9",69.68,7.44E-07,1.26E-04,"X"
113177,"C19orf36","chromosome 19 open reading frame 36",69.66,7.49E-07,1.26E-04,"X"
2013,"EMP2","epithelial membrane protein 2",66.16,7.63E-07,1.27E-04,"X"
23469,"PHF3","PHD finger protein 3",69.59,7.67E-07,1.27E-04,"X"
361,"AQP4","aquaporin 4",69.43,8.12E-07,1.34E-04,
2534,"FYN","FYN oncogene related to SRC, FGR, YES",69.34,8.39E-07,1.37E-04,"X"
4515,"MTCP1","mature T-cell proliferation 1",69.35,8.37E-07,1.37E-04,"X"
23433,"RHOQ","ras homolog gene family, member Q",58.60,9.00E-07,1.44E-04,"X"
79364,"ZXDC","ZXD family zinc finger C",62.22,8.92E-07,1.44E-04,"X"
9813,"KIAA0494","KIAA0494",69.15,8.99E-07,1.44E-04,"X"
4023,"LPL","lipoprotein lipase",69.03,9.39E-07,1.49E-04,"X"
3077,"HFE","hemochromatosis",68.99,9.52E-07,1.51E-04,"X"
4641,"MYO1C","myosin IC",68.82,1.01E-06,1.58E-04,"X"
23137,"SMC5","structural maintenance of chromosomes 5",68.83,1.01E-06,1.58E-04,"X"
9209,"LRRFIP2","leucine rich repeat (in FLII) interacting protein 2",61.81,1.04E-06,1.61E-04,
4774,"NFIA","nuclear factor I/A",65.30,1.05E-06,1.61E-04,"X"
5733,"PTGER3","prostaglandin E receptor 3 (subtype EP3)",68.76,1.03E-06,1.61E-04,"X"
10938,"EHD1","EH-domain containing 1",68.65,1.08E-06,1.65E-04,"X"
4848,"CNOT2","CCR4-NOT transcription complex, subunit 2",68.63,1.08E-06,1.65E-04,"X"
5970,"RELA","v-rel reticuloendotheliosis viral oncogene homolog A (avian)",68.59,1.10E-06,1.66E-04,"X"
,"ANKRD15","unknown",57.99,1.14E-06,1.71E-04,
865,"CBFB","core-binding factor, beta subunit",68.46,1.15E-06,1.72E-04,"X"
3910,"LAMA4","laminin, alpha 4",68.42,1.17E-06,1.74E-04,"X"
159195,"USP54","ubiquitin specific peptidase 54",46.43,1.20E-06,1.76E-04,"X"
220963,"SLC16A9","solute carrier family 16, member 9 (monocarboxylic acid transporter 9)",46.36,1.24E-06,1.80E-04,"X"
,"AL832276","unknown",64.83,1.24E-06,1.80E-04,
64427,"TTC31","tetratricopeptide repeat domain 31",61.31,1.25E-06,1.80E-04,
4047,"LSS","lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase)",68.22,1.25E-06,1.80E-04,"X"
84152,"PPP1R1B","protein phosphatase 1, regulatory (inhibitor) subunit 1B",46.24,1.30E-06,1.82E-04,"X"
,"rakera.aApr07-unspliced","unknown",50.21,1.28E-06,1.82E-04,
2247,"FGF2","fibroblast growth factor 2 (basic)",64.75,1.28E-06,1.82E-04,"X"
10902,"BRD8","bromodomain containing 8",68.14,1.29E-06,1.82E-04,"X"
8932,"MBD2","methyl-CpG binding domain protein 2",68.14,1.29E-06,1.82E-04,"X"
79890,"RIN3","Ras and Rab interactor 3",57.56,1.34E-06,1.84E-04,
6655,"SOS2","son of sevenless homolog 2 (Drosophila)",68.06,1.33E-06,1.84E-04,"X"
2628,"GATM","glycine amidinotransferase (L-arginine:glycine amidinotransferase)",68.06,1.33E-06,1.84E-04,"X"
57721,"KIAA1627","KIAA1627 protein",46.14,1.35E-06,1.86E-04,"X"
378805,"FLJ43663","hypothetical LOC378805",67.98,1.37E-06,1.87E-04,
51201,"ZDHHC2","zinc finger, DHHC-type containing 2",46.07,1.39E-06,1.89E-04,
966,"CD59","CD59 molecule, complement regulatory protein",64.48,1.41E-06,1.89E-04,"X"
6603,"SMARCD2","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2",67.90,1.41E-06,1.89E-04,"X"
196074,"METT5D1","methyltransferase 5 domain containing 1",41.88,1.43E-06,1.90E-04,
7297,"TYK2","tyrosine kinase 2",67.86,1.43E-06,1.90E-04,
23522,"MYST4","MYST histone acetyltransferase (monocytic leukemia) 4",67.78,1.47E-06,1.94E-04,"X"
8659,"ALDH4A1","aldehyde dehydrogenase 4 family, member A1",67.79,1.47E-06,1.94E-04,"X"
831,"CAST","calpastatin",67.76,1.48E-06,1.94E-04,"X"
933,"CD22","CD22 molecule",67.57,1.59E-06,2.06E-04,"X"
5094,"PCBP2","poly(rC) binding protein 2",64.03,1.67E-06,2.15E-04,"X"
4129,"MAOB","monoamine oxidase B",67.35,1.72E-06,2.21E-04,
3685,"ITGAV","integrin, alpha V (vitronectin receptor, alpha polypeptide, antigen CD51)",63.86,1.77E-06,2.25E-04,"X"
587,"BCAT2","branched chain aminotransferase 2, mitochondrial",67.26,1.77E-06,2.25E-04,"X"
7546,"ZIC2","Zic family member 2 (odd-paired homolog, Drosophila)",53.16,1.79E-06,2.26E-04,"X"
5648,"MASP1","mannan-binding lectin serine peptidase 1 (C4/C2 activating component of Ra-reactive factor)",67.18,1.83E-06,2.30E-04,"X"
5252,"PHF1","PHD finger protein 1",67.10,1.88E-06,2.35E-04,"X"
26959,"HBP1","HMG-box transcription factor 1",67.08,1.89E-06,2.36E-04,"X"
23351,"KIAA0323","KIAA0323",67.03,1.92E-06,2.39E-04,"X"
219736,"STOX1","storkhead box 1",41.15,1.95E-06,2.40E-04,
6563,"SLC14A1","solute carrier family 14 (urea transporter), member 1 (Kidd blood group)",63.60,1.94E-06,2.40E-04,"X"
7703,"PCGF2","polycomb group ring finger 2",66.95,1.98E-06,2.42E-04,"X"
5445,"PON2","paraoxonase 2",66.92,2.00E-06,2.44E-04,
3488,"IGFBP5","insulin-like growth factor binding protein 5",66.79,2.09E-06,2.53E-04,"X"
4090,"SMAD5","SMAD family member 5",66.75,2.12E-06,2.53E-04,"X"
3992,"FADS1","fatty acid desaturase 1",66.75,2.12E-06,2.53E-04,
6793,"STK10","serine/threonine kinase 10",66.76,2.12E-06,2.53E-04,"X"
6383,"SDC2","syndecan 2",66.71,2.15E-06,2.55E-04,"X"
2949,"GSTM5","glutathione S-transferase mu 5",66.64,2.21E-06,2.59E-04,"X"
6251,"RSU1","Ras suppressor protein 1",66.62,2.22E-06,2.59E-04,"X"
26065,"LSM14A","LSM14A, SCD6 homolog A (S. cerevisiae)",66.65,2.20E-06,2.59E-04,"X"
2014,"EMP3","epithelial membrane protein 3",66.63,2.22E-06,2.59E-04,"X"
240,"ALOX5","arachidonate 5-lipoxygenase",66.57,2.27E-06,2.63E-04,"X"
965,"CD58","CD58 molecule",63.16,2.28E-06,2.63E-04,"X"
3953,"LEPR","leptin receptor",63.12,2.32E-06,2.66E-04,"X"
441108,"LOC441108","hypothetical gene supported by AK128882",44.78,2.38E-06,2.71E-04,"X"
6238,"RRBP1","ribosome binding protein 1 homolog 180kDa (dog)",66.45,2.37E-06,2.71E-04,"X"
165,"AEBP1","AE binding protein 1",66.43,2.39E-06,2.71E-04,"X"
4651,"MYO10","myosin X",66.41,2.40E-06,2.71E-04,
55900,"ZNF302","zinc finger protein 302",48.61,2.44E-06,2.75E-04,"X"
8481,"OFD1","oral-facial-digital syndrome 1",62.96,2.46E-06,2.76E-04,"X"
5509,"PPP1R3D","protein phosphatase 1, regulatory (inhibitor) subunit 3D",66.28,2.51E-06,2.80E-04,"X"
253827,"MSRB3","methionine sulfoxide reductase B3",44.62,2.55E-06,2.83E-04,
8086,"AAAS","achalasia, adrenocortical insufficiency, alacrimia (Allgrove, triple-A)",59.37,2.58E-06,2.86E-04,"X"
23506,"KIAA0240","KIAA0240",66.18,2.60E-06,2.87E-04,"X"
3115,"HLA-DPB1","major histocompatibility complex, class II, DP beta 1",55.81,2.61E-06,2.87E-04,"X"
,"WWTR1.aApr07","unknown",48.41,2.65E-06,2.89E-04,
4921,"DDR2","discoidin domain receptor tyrosine kinase 2",66.03,2.75E-06,2.96E-04,"X"
1130,"LYST","lysosomal trafficking regulator",66.04,2.74E-06,2.96E-04,
27181,"SIGLEC8","sialic acid binding Ig-like lectin 8",55.62,2.81E-06,3.02E-04,"X"
64745,"METT11D1","methyltransferase 11 domain containing 1",59.13,2.83E-06,3.03E-04,
26137,"ZBTB20","zinc finger and BTB domain containing 20",65.83,2.94E-06,3.14E-04,"X"
9469,"CHST3","carbohydrate (chondroitin 6) sulfotransferase 3",65.78,3.00E-06,3.19E-04,"X"
23053,"KIAA0913","KIAA0913",55.40,3.05E-06,3.23E-04,"X"
7148,"TNXB","tenascin XB",55.39,3.07E-06,3.23E-04,
7079,"TIMP4","TIMP metallopeptidase inhibitor 4",65.70,3.09E-06,3.24E-04,"X"
55268,"ECHDC2","enoyl Coenzyme A hydratase domain containing 2",58.85,3.14E-06,3.28E-04,"X"
583,"BBS2","Bardet-Biedl syndrome 2",44.05,3.23E-06,3.35E-04,"X"
23090,"ZNF423","zinc finger protein 423",65.56,3.24E-06,3.35E-04,"X"
10606,"PAICS","phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase",62.15,3.29E-06,3.38E-04,"X"
6788,"STK3","serine/threonine kinase 3 (STE20 homolog, yeast)",65.51,3.30E-06,3.38E-04,"X"
3895,"KTN1","kinectin 1 (kinesin receptor)",65.42,3.40E-06,3.47E-04,"X"
112616,"CMTM7","CKLF-like MARVEL transmembrane domain containing 7",43.90,3.43E-06,3.48E-04,
64849,"SLC13A3","solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 3",62.02,3.45E-06,3.48E-04,"X"
10577,"NPC2","Niemann-Pick disease, type C2",65.40,3.43E-06,3.48E-04,
7091,"TLE4","transducin-like enhancer of split 4 (E(sp1) homolog, Drosophila)",65.37,3.47E-06,3.48E-04,
23354,"KIAA0841","KIAA0841",65.35,3.49E-06,3.48E-04,"X"
1856,"DVL2","dishevelled, dsh homolog 2 (Drosophila)",58.54,3.51E-06,3.49E-04,"X"
203286,"ANKS6","ankyrin repeat and sterile alpha motif domain containing 6",39.74,3.58E-06,3.52E-04,
166647,"GPR125","G protein-coupled receptor 125",65.29,3.57E-06,3.52E-04,"X"
55916,"NXT2","nuclear transport factor 2-like export factor 2",65.28,3.58E-06,3.52E-04,"X"
84168,"ANTXR1","anthrax toxin receptor 1",65.24,3.63E-06,3.54E-04,"X"
7994,"MYST3","MYST histone acetyltransferase (monocytic leukemia) 3",65.23,3.64E-06,3.54E-04,"X"
828,"CAPS","calcyphosine",43.74,3.67E-06,3.55E-04,
150677,"OTOS","otospiralin",39.66,3.71E-06,3.57E-04,
84181,"CHD6","chromodomain helicase DNA binding protein 6",51.28,3.72E-06,3.57E-04,"X"
9588,"PRDX6","peroxiredoxin 6",61.74,3.82E-06,3.64E-04,
23013,"SPEN","spen homolog, transcriptional regulator (Drosophila)",65.09,3.83E-06,3.64E-04,"X"
55970,"GNG12","guanine nucleotide binding protein (G protein), gamma 12",61.66,3.92E-06,3.72E-04,
1296,"COL8A2","collagen, type VIII, alpha 2",58.23,3.94E-06,3.72E-04,
3113,"HLA-DPA1","major histocompatibility complex, class II, DP alpha 1",54.71,3.96E-06,3.73E-04,"X"
11277,"TREX1","three prime repair exonuclease 1",64.97,3.99E-06,3.74E-04,"X"
25966,"C2CD2","C2 calcium-dependent domain containing 2",35.16,4.02E-06,3.75E-04,
9341,"VAMP3","vesicle-associated membrane protein 3 (cellubrevin)",61.56,4.08E-06,3.80E-04,
9857,"CEP350","centrosomal protein 350kDa",64.87,4.14E-06,3.84E-04,"X"
9873,"FCHSD2","FCH and double SH3 domains 2",64.82,4.20E-06,3.87E-04,
8412,"BCAR3","breast cancer anti-estrogen resistance 3",64.83,4.20E-06,3.87E-04,"X"
9064,"MAP3K6","mitogen-activated protein kinase kinase kinase 6",57.91,4.44E-06,4.07E-04,"X"
7469,"WHSC2","Wolf-Hirschhorn syndrome candidate 2",64.63,4.50E-06,4.10E-04,"X"
3551,"IKBKB","inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta",64.58,4.58E-06,4.14E-04,"X"
65125,"WNK1","WNK lysine deficient protein kinase 1",64.58,4.58E-06,4.14E-04,"X"
5352,"PLOD2","procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2",64.53,4.66E-06,4.21E-04,
81669,"CCNL2","cyclin L2",54.20,4.81E-06,4.31E-04,
5930,"RBBP6","retinoblastoma binding protein 6",61.02,4.94E-06,4.41E-04,"X"
54453,"RIN2","Ras and Rab interactor 2",64.36,4.95E-06,4.41E-04,
4257,"MGST1","microsomal glutathione S-transferase 1",42.95,5.07E-06,4.47E-04,"X"
80821,"DDHD1","DDHD domain containing 1",42.97,5.04E-06,4.47E-04,
57728,"WDR19","WD repeat domain 19",57.55,5.06E-06,4.47E-04,
2995,"GYPC","glycophorin C (Gerbich blood group)",64.18,5.27E-06,4.58E-04,"X"
23062,"GGA2","golgi associated, gamma adaptin ear containing, ARF binding protein 2",64.17,5.29E-06,4.58E-04,"X"
4149,"MAX","MYC associated factor X",64.14,5.35E-06,4.62E-04,"X"
5610,"EIF2AK2","eukaryotic translation initiation factor 2-alpha kinase 2",64.13,5.37E-06,4.62E-04,"X"
23503,"ZFYVE26","zinc finger, FYVE domain containing 26",64.04,5.53E-06,4.75E-04,
2822,"GPLD1","glycosylphosphatidylinositol specific phospholipase D1",64.02,5.56E-06,4.76E-04,"X"
9742,"IFT140","intraflagellar transport 140 homolog (Chlamydomonas)",60.65,5.64E-06,4.81E-04,"X"
558,"AXL","AXL receptor tyrosine kinase",63.95,5.72E-06,4.85E-04,"X"
11031,"RAB31","RAB31, member RAS oncogene family",63.95,5.71E-06,4.85E-04,"X"
4174,"MCM5","minichromosome maintenance complex component 5",60.52,5.92E-06,4.97E-04,
56829,"ZC3HAV1","zinc finger CCCH-type, antiviral 1",63.86,5.90E-06,4.97E-04,"X"
11228,"RASSF8","Ras association (RalGDS/AF-6) domain family (N-terminal) member 8",60.46,6.04E-06,5.06E-04,"X"
80303,"EFHD1","EF-hand domain family, member D1",63.62,6.40E-06,5.34E-04,
51341,"ZBTB7A","zinc finger and BTB domain containing 7A",60.27,6.46E-06,5.37E-04,"X"
221092,"HNRNPUL2","heterogeneous nuclear ribonucleoprotein U-like 2",34.05,6.58E-06,5.45E-04,
32,"ACACB","acetyl-Coenzyme A carboxylase beta",63.54,6.60E-06,5.45E-04,"X"
116843,"C6orf192","chromosome 6 open reading frame 192",38.28,6.68E-06,5.47E-04,
49856,"WDR8","WD repeat domain 8",56.78,6.70E-06,5.47E-04,
27013,"C2orf24","chromosome 2 open reading frame 24",63.49,6.70E-06,5.47E-04,"X"
5422,"POLA1","polymerase (DNA directed), alpha 1, catalytic subunit",63.50,6.68E-06,5.47E-04,
4958,"OMD","osteomodulin",63.44,6.83E-06,5.56E-04,"X"
8424,"BBOX1","butyrobetaine (gamma), 2-oxoglutarate dioxygenase (gamma-butyrobetaine hydroxylase) 1",63.42,6.86E-06,5.57E-04,
1203,"CLN5","ceroid-lipofuscinosis, neuronal 5",63.29,7.19E-06,5.78E-04,"X"
